experience_level,employment_type,jobs,salary_in_usd,work_setting,company_location,company_size
Senior,Full-time,Data Analysis,121600,Remote,United States,M
Senior,Full-time,Cloud and Database,170000,Remote,United States,L
Senior,Full-time,Machine Learning and AI,90000,Remote,United States,L
Entry-level,Full-time,Data Analysis,95000,Remote,United States,M
Entry-level,Full-time,Data Analysis,70000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,120000,Remote,United States,M
Mid-level,Full-time,Data Analysis,206000,In-person,United States,M
Senior,Full-time,Leadership and Management,87000,In-person,United States,M
Mid-level,Full-time,Data Science and Research,145000,In-person,United States,M
Entry-level,Full-time,Data Engineering,115100,In-person,United States,M
Entry-level,Full-time,Data Engineering,73900,In-person,United States,M
Mid-level,Full-time,Data Analysis,130000,Remote,United States,L
Senior,Full-time,Data Science and Research,141288,In-person,United States,M
Senior,Full-time,Data Science and Research,94192,In-person,United States,M
Senior,Full-time,Data Engineering,184000,Remote,United States,M
Mid-level,Full-time,Machine Learning and AI,147000,In-person,United States,M
Executive,Full-time,Data Engineering,210914,Remote,United States,M
Executive,Full-time,Data Engineering,116704,Remote,United States,M
Mid-level,Full-time,Leadership and Management,185700,In-person,United States,M
Mid-level,Full-time,Leadership and Management,165000,In-person,United States,M
Senior,Full-time,Data Quality and Operations,193000,Remote,United States,M
Senior,Full-time,Data Quality and Operations,136850,Remote,United States,M
Senior,Full-time,Machine Learning and AI,139500,In-person,United States,M
Senior,Full-time,Machine Learning and AI,109400,In-person,United States,M
Senior,Full-time,Data Engineering,276000,Remote,United States,M
Senior,Full-time,BI and Visualization,130000,Remote,United States,L
Senior,Full-time,Leadership and Management,170000,Remote,United States,M
Senior,Full-time,Leadership and Management,130000,Remote,United States,M
Mid-level,Full-time,Data Science and Research,106250,In-person,United States,M
Executive,Full-time,Data Engineering,167500,In-person,United States,M
Executive,Full-time,Data Engineering,106500,In-person,United States,M
Senior,Full-time,Data Analysis,250000,Remote,United States,M
Senior,Full-time,Data Analysis,138000,Remote,United States,M
Mid-level,Full-time,Data Science and Research,104500,In-person,United States,M
Mid-level,Full-time,Data Science and Research,125000,Remote,United States,M
Senior,Full-time,Data Analysis,127000,Remote,United States,M
Senior,Full-time,Data Science and Research,210550,In-person,United States,M
Senior,Full-time,Data Science and Research,153300,In-person,United States,M
Mid-level,Full-time,Data Science and Research,200000,Remote,United States,M
Senior,Full-time,Data Analysis,161500,Remote,United States,M
Senior,Full-time,Data Analysis,119500,Remote,United States,M
Senior,Full-time,Leadership and Management,85000,In-person,United States,M
Senior,Full-time,Data Science and Research,146300,In-person,United States,M
Senior,Full-time,Machine Learning and AI,153400,In-person,United States,M
Senior,Full-time,Machine Learning and AI,122700,In-person,United States,M
Senior,Full-time,Data Science and Research,123900,Remote,United States,M
Senior,Full-time,Data Analysis,185900,In-person,United States,M
Senior,Full-time,Data Analysis,121700,In-person,United States,M
Entry-level,Full-time,Data Analysis,100000,Remote,United States,L
Executive,Full-time,Data Engineering,239000,Remote,United States,M
Entry-level,Full-time,Data Analysis,150000,In-person,United States,M
Senior,Full-time,Data Science and Research,149076,In-person,United States,M
Senior,Full-time,Data Science and Research,82365,In-person,United States,M
Senior,Full-time,Data Analysis,85500,In-person,United States,M
Mid-level,Full-time,Data Science and Research,97750,Remote,United States,M
Mid-level,Full-time,Data Science and Research,116990,Remote,United States,M
Mid-level,Full-time,Data Science and Research,82920,Remote,United States,M
Mid-level,Full-time,Machine Learning and AI,200000,In-person,United States,S
Mid-level,Full-time,Machine Learning and AI,125000,In-person,United States,S
Senior,Full-time,Leadership and Management,140000,In-person,United States,M
Mid-level,Full-time,Machine Learning and AI,205920,In-person,United States,M
Mid-level,Full-time,Machine Learning and AI,171600,In-person,United States,M
Senior,Full-time,Data Engineering,121500,Remote,United States,M
Senior,Full-time,Data Engineering,78000,Remote,United States,M
Mid-level,Full-time,Data Engineering,116000,In-person,United States,M
Senior,Full-time,Data Analysis,180000,In-person,United States,M
Mid-level,Full-time,Data Engineering,200000,In-person,United States,M
Entry-level,Part-time,Data Analysis,34320,Remote,United States,S
Senior,Full-time,Data Analysis,122000,Remote,United States,M
Senior,Full-time,Data Analysis,93800,Remote,United States,M
Senior,Full-time,Data Analysis,152380,In-person,United States,M
Senior,Full-time,Data Analysis,121904,In-person,United States,M
Senior,Full-time,Machine Learning and AI,128280,In-person,United States,M
Senior,Full-time,Machine Learning and AI,106900,In-person,United States,M
Senior,Full-time,Data Science and Research,192000,Remote,United States,L
Mid-level,Full-time,Data Engineering,100000,In-person,United States,M
Senior,Full-time,Data Analysis,170500,Remote,United States,M
Senior,Full-time,Data Engineering,80000,In-person,United States,M
Senior,Full-time,Data Engineering,65000,In-person,United States,M
Senior,Full-time,Data Engineering,124740,In-person,United States,M
Senior,Full-time,Data Engineering,65488,In-person,United States,M
Senior,Full-time,Data Quality and Operations,72200,In-person,United States,M
Senior,Full-time,Data Quality and Operations,64980,In-person,United States,M
Senior,Full-time,Data Analysis,179975,Remote,United States,M
Senior,Full-time,Data Analysis,86466,Remote,United States,M
Senior,Full-time,Data Analysis,230000,In-person,United States,M
Senior,Full-time,Machine Learning and AI,205920,In-person,United States,M
Senior,Full-time,Machine Learning and AI,171600,In-person,United States,M
Senior,Full-time,Data Engineering,265000,In-person,United States,M
Entry-level,Full-time,Data Science and Research,168000,Remote,United States,M
Senior,Full-time,Data Engineering,167580,In-person,United States,M
Senior,Full-time,Data Engineering,87980,In-person,United States,M
Senior,Full-time,Data Engineering,104000,Remote,United States,M
Senior,Full-time,Data Engineering,65000,Remote,United States,M
Senior,Full-time,Data Science and Research,230000,In-person,United States,M
Senior,Full-time,Leadership and Management,197000,In-person,United States,M
Senior,Full-time,Leadership and Management,106000,In-person,United States,M
Senior,Full-time,Data Engineering,290000,Remote,United States,M
Senior,Full-time,Data Engineering,192000,In-person,United States,M
Senior,Full-time,Data Engineering,172800,In-person,United States,M
Senior,Full-time,Data Science and Research,300240,In-person,United States,M
Senior,Full-time,Data Science and Research,200160,In-person,United States,M
Senior,Full-time,Leadership and Management,169000,In-person,United States,M
Senior,Full-time,Leadership and Management,100000,In-person,United States,M
Senior,Full-time,Data Analysis,110000,Remote,United States,S
Senior,Full-time,Data Analysis,80000,Remote,United States,S
Entry-level,Full-time,Data Analysis,55000,In-person,United States,M
Entry-level,Full-time,Data Analysis,48000,In-person,United States,M
Senior,Full-time,Data Engineering,137500,Remote,United States,M
Senior,Full-time,Data Engineering,81500,Remote,United States,M
Senior,Full-time,Machine Learning and AI,186000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,153088,Remote,United States,M
Mid-level,Full-time,Data Engineering,190000,In-person,United States,M
Senior,Full-time,Data Engineering,66000,Remote,United States,M
Mid-level,Full-time,Machine Learning and AI,148500,In-person,United States,M
Mid-level,Full-time,Machine Learning and AI,126277,In-person,United States,M
Senior,Full-time,Data Architecture and Modeling,228000,In-person,United States,M
Senior,Full-time,Machine Learning and AI,90000,In-person,United States,M
Senior,Full-time,Machine Learning and AI,272000,In-person,United States,M
Senior,Full-time,Data Engineering,259000,Remote,United States,M
Senior,Full-time,Data Science and Research,247500,In-person,United States,M
Senior,Full-time,Data Science and Research,172200,In-person,United States,M
Senior,Full-time,Machine Learning and AI,288000,Remote,United States,M
Senior,Full-time,Data Science and Research,215050,Remote,United States,M
Senior,Full-time,Data Architecture and Modeling,198000,Remote,United States,M
Senior,Full-time,Data Architecture and Modeling,114000,Remote,United States,M
Senior,Full-time,Data Science and Research,209300,Remote,United States,M
Senior,Full-time,Data Science and Research,182200,Remote,United States,M
Senior,Full-time,Machine Learning and AI,147100,In-person,United States,M
Senior,Full-time,Machine Learning and AI,90700,In-person,United States,M
Senior,Full-time,Data Analysis,227000,In-person,United States,M
Senior,Full-time,Data Architecture and Modeling,160000,Remote,United States,M
Entry-level,Full-time,Data Analysis,50000,Hybrid,United States,L
Senior,Full-time,Data Analysis,52500,In-person,United States,M
Senior,Full-time,Data Engineering,250000,Remote,United States,M
Senior,Full-time,Data Engineering,162500,Remote,United States,M
Mid-level,Full-time,Data Analysis,165000,In-person,United States,M
Mid-level,Full-time,Data Analysis,124000,In-person,United States,M
Senior,Full-time,Data Engineering,63000,Remote,United States,M
Mid-level,Full-time,Data Science and Research,170000,In-person,United States,M
Mid-level,Full-time,Data Science and Research,120000,In-person,United States,M
Senior,Full-time,Data Engineering,213580,Remote,United States,M
Senior,Full-time,Data Engineering,163625,Remote,United States,M
Executive,Full-time,Data Engineering,210000,In-person,United States,M
Senior,Full-time,Data Science and Research,231250,Remote,United States,M
Senior,Full-time,Data Science and Research,138750,Remote,United States,M
Senior,Full-time,Machine Learning and AI,284310,In-person,United States,M
Senior,Full-time,Machine Learning and AI,153090,In-person,United States,M
Entry-level,Full-time,Data Analysis,100000,Hybrid,United States,M
Senior,Full-time,Data Science and Research,225900,In-person,United States,M
Senior,Full-time,Data Engineering,241871,In-person,United States,M
Senior,Full-time,Data Engineering,133832,In-person,United States,M
Senior,Full-time,Data Science and Research,216100,In-person,United States,M
Senior,Full-time,Data Science and Research,140800,In-person,United States,M
Entry-level,Full-time,Data Science and Research,110000,Hybrid,United States,S
Executive,Full-time,Data Engineering,284000,Remote,United States,M
Executive,Full-time,Data Engineering,236000,Remote,United States,M
Senior,Full-time,Data Science and Research,155850,In-person,United States,M
Senior,Full-time,Data Science and Research,102544,In-person,United States,M
Mid-level,Full-time,Data Science and Research,151410,Remote,United States,M
Mid-level,Full-time,Data Science and Research,115360,Remote,United States,M
Entry-level,Full-time,Data Science and Research,180000,Remote,United States,M
Executive,Full-time,Leadership and Management,155000,In-person,United States,M
Senior,Full-time,Leadership and Management,204500,In-person,United States,M
Senior,Full-time,Leadership and Management,138900,In-person,United States,M
Mid-level,Full-time,Machine Learning and AI,110000,Remote,United States,L
Senior,Full-time,Data Engineering,182750,Remote,United States,M
Senior,Full-time,Data Engineering,137500,In-person,United States,M
Executive,Full-time,Data Science and Research,195800,In-person,United States,M
Senior,Full-time,Data Science and Research,165000,Remote,United States,M
Senior,Full-time,Data Science and Research,144000,Remote,United States,M
Entry-level,Full-time,BI and Visualization,160000,In-person,United States,M
Entry-level,Full-time,BI and Visualization,100000,In-person,United States,M
Senior,Full-time,Leadership and Management,199000,In-person,United States,M
Senior,Full-time,Leadership and Management,112000,In-person,United States,M
Entry-level,Full-time,Data Engineering,160000,In-person,United States,M
Entry-level,Full-time,Data Engineering,135000,In-person,United States,M
Senior,Full-time,Data Science and Research,183000,In-person,United States,M
Senior,Full-time,Data Science and Research,262500,In-person,United States,L
Senior,Full-time,Data Analysis,122000,In-person,United States,M
Senior,Full-time,Data Science and Research,158677,Remote,United States,M
Mid-level,Full-time,Data Analysis,103200,In-person,United States,M
Mid-level,Full-time,Data Analysis,61200,In-person,United States,M
Mid-level,Full-time,Data Science and Research,155000,Remote,United States,L
Senior,Full-time,Data Architecture and Modeling,174500,In-person,United States,M
Senior,Full-time,Data Architecture and Modeling,113000,In-person,United States,M
Senior,Full-time,Data Analysis,87000,Remote,United States,M
Senior,Full-time,Data Analysis,108000,Remote,United States,M
Senior,Full-time,Data Engineering,107250,Remote,United States,M
Senior,Full-time,Data Engineering,119000,In-person,United States,M
Senior,Full-time,Data Science and Research,285800,Remote,United States,M
Senior,Full-time,Data Science and Research,154600,Remote,United States,M
Entry-level,Full-time,Data Analysis,30000,Remote,United States,S
Mid-level,Full-time,Data Science and Research,195000,In-person,United States,M
Senior,Full-time,Leadership and Management,168400,In-person,United States,M
Senior,Full-time,Leadership and Management,200000,Remote,United States,M
Senior,Full-time,Data Engineering,90000,Remote,United States,M
Entry-level,Full-time,Data Science and Research,124234,In-person,United States,M
Entry-level,Full-time,Data Science and Research,74540,In-person,United States,M
Mid-level,Full-time,Data Analysis,109000,In-person,United States,M
Senior,Full-time,Data Analysis,125600,Remote,United States,M
Senior,Full-time,Data Analysis,141290,In-person,United States,M
Senior,Full-time,Data Analysis,74178,In-person,United States,M
Senior,Full-time,Data Engineering,107500,Remote,United States,M
Mid-level,Full-time,Data Analysis,52500,In-person,United States,M
Senior,Full-time,Data Science and Research,84000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,135000,In-person,United States,M
Entry-level,Full-time,Data Analysis,48000,Hybrid,United States,L
Senior,Full-time,Machine Learning and AI,200000,Remote,United States,S
Senior,Full-time,Data Science and Research,257000,In-person,United States,M
Mid-level,Full-time,Data Science and Research,183310,In-person,United States,M
Senior,Full-time,Data Analysis,102500,Remote,United States,M
Senior,Full-time,Data Science and Research,94000,In-person,United States,M
Senior,Full-time,Data Science and Research,182000,In-person,United States,M
Executive,Full-time,Data Science and Research,300000,In-person,United States,M
Mid-level,Full-time,Data Analysis,105500,In-person,United States,M
Mid-level,Full-time,Data Science and Research,110000,Remote,United States,L
Senior,Full-time,Data Science and Research,153400,In-person,United States,M
Senior,Full-time,Data Science and Research,122700,In-person,United States,M
Mid-level,Full-time,Machine Learning and AI,87000,In-person,United States,M
Entry-level,Full-time,Data Science and Research,50000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,234100,Remote,United States,M
Senior,Full-time,Machine Learning and AI,203500,Remote,United States,M
Senior,Full-time,Data Engineering,232200,Remote,United States,M
Senior,Full-time,Data Engineering,167200,Remote,United States,M
Senior,Full-time,BI and Visualization,197000,In-person,United States,M
Senior,Full-time,BI and Visualization,106000,In-person,United States,M
Senior,Full-time,Leadership and Management,225000,In-person,United States,M
Senior,Full-time,Leadership and Management,200000,In-person,United States,M
Senior,Full-time,Data Engineering,114000,Remote,United States,M
Senior,Full-time,Data Engineering,291500,In-person,United States,M
Executive,Full-time,Data Engineering,196200,In-person,United States,M
Executive,Full-time,Data Engineering,150900,In-person,United States,M
Mid-level,Full-time,Data Analysis,116000,In-person,United States,M
Mid-level,Full-time,Data Analysis,72000,In-person,United States,M
Senior,Full-time,Leadership and Management,207000,In-person,United States,M
Senior,Full-time,Leadership and Management,167000,In-person,United States,M
Senior,Full-time,Data Engineering,133800,Remote,United States,M
Senior,Full-time,Data Engineering,96100,Remote,United States,M
Senior,Full-time,Cloud and Database,140000,Remote,United States,M
Senior,Full-time,Cloud and Database,115000,Remote,United States,M
Mid-level,Full-time,Machine Learning and AI,219000,Hybrid,United States,L
Senior,Full-time,Data Science and Research,126100,In-person,United States,L
Senior,Full-time,Data Science and Research,72000,In-person,United States,L
Mid-level,Full-time,Machine Learning and AI,175000,Remote,United States,M
Senior,Full-time,Data Analysis,240500,In-person,United States,M
Senior,Full-time,Data Analysis,137500,In-person,United States,M
Mid-level,Full-time,Data Science and Research,187500,In-person,United States,M
Mid-level,Full-time,Data Science and Research,165000,In-person,United States,M
Entry-level,Part-time,Data Analysis,25216,Remote,United States,L
Senior,Full-time,Data Science and Research,165750,In-person,United States,M
Senior,Full-time,Machine Learning and AI,165750,Remote,United States,M
Senior,Full-time,Data Science and Research,115000,Remote,United States,M
Senior,Full-time,Data Engineering,175308,In-person,United States,M
Senior,Full-time,Data Engineering,100706,In-person,United States,M
Senior,Full-time,Data Engineering,231250,Remote,United States,M
Senior,Full-time,Data Engineering,138750,Remote,United States,M
Entry-level,Full-time,Machine Learning and AI,150000,In-person,United States,M
Entry-level,Full-time,Machine Learning and AI,120000,In-person,United States,M
Senior,Full-time,Data Science and Research,272550,In-person,United States,M
Senior,Full-time,Data Science and Research,198200,In-person,United States,M
Senior,Full-time,Data Engineering,187500,Remote,United States,M
Senior,Full-time,Data Analysis,155000,Remote,United States,M
Senior,Full-time,Data Analysis,64000,Remote,United States,M
Senior,Full-time,Data Science and Research,142000,Remote,United States,M
Senior,Full-time,Data Science and Research,180560,In-person,United States,M
Senior,Full-time,Data Science and Research,115440,In-person,United States,M
Senior,Full-time,Data Engineering,141600,In-person,United States,M
Senior,Full-time,Data Engineering,128000,Remote,United States,M
Senior,Full-time,Data Engineering,236000,Remote,United States,M
Entry-level,Full-time,Data Science and Research,130000,In-person,United States,M
Senior,Full-time,Leadership and Management,125000,Remote,United States,L
Senior,Full-time,Data Science and Research,94500,In-person,United States,M
Mid-level,Full-time,Data Science and Research,127500,Remote,United States,M
Senior,Full-time,Data Science and Research,126500,Remote,United States,M
Senior,Full-time,Data Science and Research,51000,Remote,United States,M
Senior,Full-time,Data Science and Research,272550,Remote,United States,M
Senior,Full-time,Data Engineering,216000,Remote,United States,M
Senior,Full-time,Data Analysis,149000,Remote,United States,M
Senior,Full-time,Data Analysis,119000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,246000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,201000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,185000,Remote,United States,M
Senior,Full-time,Cloud and Database,190000,Remote,United States,M
Senior,Full-time,Cloud and Database,160000,Remote,United States,M
Entry-level,Full-time,Data Analysis,100000,Remote,United States,M
Mid-level,Full-time,Data Engineering,115000,In-person,United States,M
Senior,Full-time,Data Science and Research,249500,In-person,United States,M
Senior,Full-time,Data Science and Research,149850,In-person,United States,M
Mid-level,Full-time,Leadership and Management,122500,Remote,United States,M
Mid-level,Full-time,Leadership and Management,100000,Remote,United States,M
Senior,Full-time,Data Science and Research,182750,Remote,United States,M
Senior,Full-time,Data Science and Research,161500,Remote,United States,M
Mid-level,Full-time,Data Analysis,102640,Remote,United States,M
Mid-level,Full-time,Data Analysis,66100,Remote,United States,M
Senior,Full-time,Data Engineering,198800,In-person,United States,M
Senior,Full-time,Data Engineering,122600,In-person,United States,M
Mid-level,Full-time,Data Engineering,80000,Remote,United States,M
Executive,Full-time,Data Science and Research,159000,Remote,United States,M
Executive,Full-time,Data Science and Research,130000,Remote,United States,M
Mid-level,Full-time,Data Engineering,153000,Remote,United States,M
Senior,Full-time,Data Analysis,166700,In-person,United States,M
Senior,Full-time,Data Analysis,119000,In-person,United States,M
Senior,Full-time,Data Architecture and Modeling,190000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,190000,Remote,United States,L
Senior,Full-time,Data Engineering,194000,Remote,United States,M
Senior,Full-time,Data Engineering,129400,Remote,United States,M
Senior,Full-time,Data Analysis,201000,Remote,United States,M
Senior,Full-time,Data Analysis,89200,Remote,United States,M
Mid-level,Full-time,Machine Learning and AI,130000,Remote,United States,M
Senior,Full-time,Data Engineering,152500,In-person,United States,M
Senior,Full-time,Data Engineering,178750,In-person,United States,M
Senior,Full-time,Data Science and Research,95000,In-person,United States,M
Senior,Full-time,Data Engineering,197430,Remote,United States,M
Senior,Full-time,Data Engineering,134760,Remote,United States,M
Senior,Full-time,Data Engineering,197000,In-person,United States,M
Senior,Full-time,Data Analysis,115000,Remote,United States,S
Entry-level,Freelance,Leadership and Management,50000,Remote,United States,S
Senior,Full-time,Data Engineering,230000,Remote,United States,M
Senior,Full-time,Data Engineering,154600,Remote,United States,M
Senior,Full-time,Data Engineering,213000,In-person,United States,M
Senior,Full-time,Data Engineering,152000,In-person,United States,M
Senior,Full-time,Data Science and Research,110000,In-person,United States,M
Senior,Full-time,Machine Learning and AI,243000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,183000,Remote,United States,M
Senior,Full-time,Data Analysis,96000,Remote,United States,M
Entry-level,Full-time,Machine Learning and AI,189750,In-person,United States,M
Entry-level,Full-time,Machine Learning and AI,140250,In-person,United States,M
Senior,Full-time,Data Engineering,191200,In-person,United States,M
Senior,Full-time,Data Engineering,230000,In-person,United States,L
Senior,Full-time,Data Engineering,154600,In-person,United States,L
Mid-level,Full-time,Data Analysis,80000,Remote,United States,L
Senior,Full-time,Leadership and Management,135000,In-person,United States,M
Senior,Full-time,Leadership and Management,110000,In-person,United States,M
Senior,Full-time,Data Engineering,205000,Remote,United States,M
Senior,Full-time,Data Engineering,179500,In-person,United States,M
Senior,Full-time,Data Engineering,134000,In-person,United States,M
Senior,Full-time,Data Architecture and Modeling,235000,Remote,United States,M
Mid-level,Full-time,Data Management and Strategy,165000,In-person,United States,M
Mid-level,Full-time,Data Management and Strategy,135000,In-person,United States,M
Senior,Full-time,Data Science and Research,148000,Remote,United States,M
Senior,Full-time,Data Science and Research,107000,Remote,United States,M
Mid-level,Full-time,Data Engineering,161000,Remote,United States,M
Mid-level,Full-time,Data Engineering,118000,Remote,United States,M
Senior,Full-time,Data Analysis,177000,In-person,United States,M
Mid-level,Full-time,Data Engineering,80000,In-person,United States,M
Mid-level,Full-time,Data Engineering,175000,Remote,United States,M
Entry-level,Full-time,Data Science and Research,80000,In-person,United States,M
Senior,Full-time,Leadership and Management,193750,Remote,United States,M
Senior,Full-time,Leadership and Management,116250,Remote,United States,M
Senior,Full-time,Data Engineering,193750,Remote,United States,M
Senior,Full-time,Data Engineering,116250,Remote,United States,M
Senior,Full-time,Data Science and Research,208000,Remote,United States,M
Senior,Full-time,Data Science and Research,300000,Remote,United States,M
Senior,Full-time,Data Science and Research,140700,In-person,United States,M
Senior,Full-time,Data Science and Research,93800,In-person,United States,M
Senior,Full-time,Machine Learning and AI,201000,In-person,United States,M
Senior,Full-time,Data Analysis,154560,In-person,United States,M
Senior,Full-time,Data Analysis,123648,In-person,United States,M
Mid-level,Full-time,Data Engineering,170000,In-person,United States,M
Senior,Full-time,Data Science and Research,177500,Remote,United States,M
Senior,Full-time,Data Architecture and Modeling,192564,Remote,United States,M
Senior,Full-time,Data Engineering,179305,Remote,United States,M
Senior,Full-time,Data Engineering,142127,Remote,United States,M
Senior,Full-time,Data Science and Research,243900,Remote,United States,M
Senior,Full-time,Data Science and Research,156600,Remote,United States,M
Senior,Full-time,Data Engineering,182500,Remote,United States,M
Senior,Full-time,Data Engineering,128500,Remote,United States,M
Entry-level,Full-time,Leadership and Management,77300,Remote,United States,M
Entry-level,Full-time,Leadership and Management,45600,Remote,United States,M
Senior,Full-time,Data Architecture and Modeling,136000,Remote,United States,M
Senior,Full-time,Data Engineering,247500,In-person,United States,M
Senior,Full-time,Data Engineering,172200,In-person,United States,M
Senior,Full-time,Data Engineering,184100,In-person,United States,M
Mid-level,Full-time,Data Science and Research,85000,Remote,United States,M
Mid-level,Full-time,Data Science and Research,78000,Remote,United States,M
Executive,Full-time,Leadership and Management,205000,In-person,United States,M
Executive,Full-time,Leadership and Management,160000,In-person,United States,M
Senior,Full-time,Data Science and Research,198440,In-person,United States,L
Senior,Full-time,Data Science and Research,144000,In-person,United States,L
Senior,Full-time,Data Science and Research,198440,In-person,United States,M
Entry-level,Full-time,Data Analysis,64000,Remote,United States,L
Senior,Full-time,Data Analysis,127000,In-person,United States,M
Senior,Full-time,Data Engineering,275000,Remote,United States,M
Senior,Full-time,Data Science and Research,159699,In-person,United States,M
Senior,Full-time,Data Science and Research,138938,In-person,United States,M
Entry-level,Full-time,BI and Visualization,76000,Hybrid,United States,L
Mid-level,Full-time,Data Science and Research,240000,Remote,United States,M
Entry-level,Part-time,Data Analysis,125404,Hybrid,United States,S
Senior,Full-time,Data Quality and Operations,123000,In-person,United States,M
Senior,Full-time,Data Quality and Operations,92250,In-person,United States,M
Senior,Full-time,Data Engineering,97000,Remote,United States,M
Executive,Full-time,Leadership and Management,157000,Remote,United States,M
Senior,Full-time,Data Architecture and Modeling,81500,In-person,United States,M
Senior,Full-time,Data Quality and Operations,105000,In-person,United States,M
Senior,Full-time,Data Quality and Operations,70000,In-person,United States,M
Senior,Full-time,Data Science and Research,122500,In-person,United States,M
Senior,Full-time,Data Engineering,171000,In-person,United States,M
Senior,Full-time,Data Engineering,117000,In-person,United States,M
Senior,Full-time,Data Science and Research,202800,In-person,United States,L
Senior,Full-time,Data Science and Research,104300,In-person,United States,L
Senior,Full-time,Data Architecture and Modeling,230400,In-person,United States,M
Senior,Full-time,Data Analysis,175950,Remote,United States,M
Senior,Full-time,Data Analysis,130050,Remote,United States,M
Senior,Full-time,Data Analysis,236600,Remote,United States,M
Entry-level,Full-time,Data Science and Research,80000,Remote,United States,L
Senior,Full-time,Data Science and Research,165000,Hybrid,United States,S
Entry-level,Full-time,Machine Learning and AI,108000,In-person,United States,S
Senior,Full-time,Data Science and Research,38000,Remote,United States,M
Senior,Full-time,Data Science and Research,153600,Remote,United States,M
Senior,Full-time,Data Science and Research,106800,Remote,United States,M
Senior,Full-time,Data Science and Research,50000,Remote,United States,M
Senior,Full-time,Data Science and Research,123400,In-person,United States,M
Senior,Full-time,Data Science and Research,88100,In-person,United States,M
Senior,Full-time,Data Science and Research,120000,Remote,United States,S
Senior,Full-time,Data Science and Research,55000,Remote,United States,S
Senior,Full-time,Data Engineering,50000,Remote,United States,M
Mid-level,Full-time,Machine Learning and AI,148500,Remote,United States,L
Mid-level,Full-time,Machine Learning and AI,98200,Remote,United States,L
Senior,Full-time,Data Architecture and Modeling,225000,Remote,United States,M
Senior,Full-time,Data Architecture and Modeling,66000,Remote,United States,M
Mid-level,Full-time,Leadership and Management,134000,In-person,United States,M
Mid-level,Full-time,Leadership and Management,98000,In-person,United States,M
Mid-level,Full-time,Data Analysis,62000,In-person,United States,M
Entry-level,Full-time,Data Analysis,57000,Remote,United States,L
Mid-level,Full-time,Data Science and Research,144200,Remote,United States,M
Mid-level,Full-time,Data Science and Research,108000,Hybrid,United States,L
Senior,Full-time,Data Engineering,188700,Remote,United States,M
Senior,Full-time,Data Engineering,160395,Remote,United States,M
Senior,Full-time,Data Science and Research,198440,Remote,United States,M
Senior,Full-time,Data Science and Research,191475,Remote,United States,M
Senior,Full-time,Data Science and Research,141525,Remote,United States,M
Senior,Full-time,Data Science and Research,156868,Remote,United States,L
Senior,Contract,Data Analysis,90000,Remote,United States,M
Mid-level,Full-time,Leadership and Management,108000,Remote,United States,M
Mid-level,Full-time,Leadership and Management,85000,Remote,United States,M
Mid-level,Full-time,Leadership and Management,135000,Remote,United States,L
Senior,Full-time,Data Engineering,178800,Remote,United States,L
Senior,Full-time,Data Engineering,132100,Remote,United States,L
Entry-level,Full-time,Data Analysis,20000,Hybrid,United States,M
Executive,Full-time,Data Engineering,187200,Remote,United States,M
Executive,Full-time,Data Engineering,116100,Remote,United States,M
Senior,Full-time,Data Engineering,229998,In-person,United States,L
Senior,Full-time,Data Engineering,154545,In-person,United States,L
Senior,Full-time,Data Science and Research,215000,In-person,United States,L
Senior,Full-time,Data Science and Research,159000,In-person,United States,L
Entry-level,Full-time,Machine Learning and AI,50000,Remote,United States,M
Senior,Full-time,Data Science and Research,183000,Remote,United States,L
Senior,Full-time,Data Analysis,99750,Remote,United States,M
Senior,Full-time,Data Analysis,68400,Remote,United States,M
Senior,Full-time,Data Science and Research,236900,Remote,United States,L
Senior,Full-time,Data Science and Research,159200,Remote,United States,L
Senior,Full-time,Data Science and Research,243225,Remote,United States,M
Senior,Full-time,Data Science and Research,179775,Remote,United States,M
Senior,Full-time,Data Science and Research,145300,In-person,United States,M
Senior,Full-time,Machine Learning and AI,195400,Remote,United States,L
Senior,Full-time,Machine Learning and AI,131300,Remote,United States,L
Entry-level,Full-time,Data Management and Strategy,105000,Remote,United States,L
Senior,Full-time,Data Analysis,99000,In-person,United States,M
Senior,Full-time,Data Engineering,195700,In-person,United States,M
Senior,Full-time,Data Engineering,130500,In-person,United States,M
Senior,Full-time,Machine Learning and AI,130000,Remote,United States,M
Senior,Full-time,Machine Learning and AI,84000,Remote,United States,M
Mid-level,Full-time,Data Quality and Operations,100000,Remote,United States,M
Senior,Full-time,Data Engineering,141300,In-person,United States,M
Senior,Full-time,Data Engineering,102100,In-person,United States,M
Mid-level,Full-time,Data Analysis,150000,Remote,United States,L
Senior,Full-time,Data Architecture and Modeling,195400,Remote,United States,L
Senior,Full-time,Data Architecture and Modeling,131300,Remote,United States,L
Mid-level,Contract,Machine Learning and AI,60000,Remote,United States,S
Senior,Full-time,Data Engineering,105000,Remote,United States,M
Senior,Full-time,Data Science and Research,180000,Remote,United States,L
